x,y,time
37.45401188,18.51329288,0.000279234
95.07143064,54.19009474,0.003232632
73.19939418,87.29458359,0.032487017
59.86584842,73.22248864,0.03537173
15.60186404,80.65611479,0.037562525
15.59945203,65.87833667,0.091678144
5.808361217,69.22765645,0.104718472
86.61761458,84.91956516,0.13213918
60.11150117,24.96680089,0.183936784
70.80725778,48.94249636,0.188198179
2.05844943,22.12094418,0.212718843
96.99098522,98.7668008,0.216923258
83.24426408,94.40593397,0.238171707
21.23391107,3.942681137,0.243148417
18.18249672,70.55751725,0.274031603
18.34045099,92.52483174,0.280958658
30.4242243,18.05753451,0.290474803
52.47564316,56.79452306,0.297696871
43.19450186,91.54882976,0.302580479
29.12291402,3.394597859,0.343566664
61.18528947,69.74202672,0.352641328
13.94938607,29.73490074,0.406743957
29.21446485,92.43961954,0.421256721
36.63618433,97.10582452,0.432157334
45.60699842,94.42664891,0.458786266
78.51759614,47.42142167,0.463863142
19.96737822,86.2042651,0.523761523
51.42344384,84.45493985,0.560450312
59.24145689,31.91004732,0.566279151
4.645041272,82.89154742,0.604641935
60.75448519,3.700763472,0.610746238
17.05241237,59.62698785,0.652018109
6.505159299,23.00088373,0.660881277
94.88855373,12.05668858,0.700074327
96.56320331,7.695320163,0.742938982
80.83973481,69.62887759,0.796544509
30.46137692,33.98749638,0.806726404
9.767211401,72.47667715,0.832086401
68.42330265,6.53563408,0.864451639
44.01524937,31.52903378,0.8813127
12.20382348,53.94912924,0.90170617
49.51769101,79.07231648,0.93431912
3.438852112,31.87525029,0.935904302
90.93204021,62.58913764,0.947028789
25.87799816,88.59777482,1.008592204
66.25222844,61.58631882,1.018135157
31.17110761,23.29594748,1.049737735
52.00680212,2.440078156,1.053598623
54.67102793,87.00988739,1.077871176
18.48544555,2.126941085,1.095569892
96.95846278,87.47016727,1.124445805
77.51328234,52.8937134,1.155428063
93.94989416,93.90676985,1.156464297
89.48273504,79.87832358,1.199496688
59.78999788,99.79341105,1.205424275
92.1874235,35.07118155,1.227249155
8.849250205,76.71882889,1.24004932
19.59828624,40.19309136,1.246957861
4.522728891,47.98756203,1.254189103
32.53303308,62.75054632,1.256520484
38.86772897,87.36771142,1.303968836
27.13490318,98.40834692,1.31122608
82.87375092,76.82734139,1.383541973
35.67533267,41.77667822,1.388266787
28.09345097,42.13570023,1.39420685
54.26960832,73.75823016,1.428592808
14.0924225,23.87771458,1.492877428
80.21969808,11.04741131,1.494554541
7.455064368,35.46221576,1.498982247
